"Name","COVID-19 Cases by Race/Ethnicity"
"Description","Racial groups are defined such that:&nbsp;<br />
<em>Asian</em>&nbsp;= Asian or Pacific Islander<br />
<em>Black</em>&nbsp;= Black or African American<br />
<em>Hispanic</em>&nbsp;= Hispanic or Latino, regardless of race<br />
<em>White</em>&nbsp;= White&nbsp;<br />
<br />
Rates are age adjusted according to the U.S. 2000 standard population, per 100,000 people by racial/ethnic group.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong>Data are updated weekly.&nbsp;</strong></strong>"
"Notes","Data on people identified as American Indian/Alaska Native, two or more races, or other races/ethnicities are not shown, as precise race-specific population estimates are not available for these groups in NYC. Race/ethnicity information is most complete for people who have been hospitalized or have died.<br />
<br />
Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
New York City,Asian,05/19,Rate,554.82,3651000
New York City,Black,05/19,Rate,1462.25,3651000
New York City,Hispanic,05/19,Rate,1294.87,3651000
New York City,White,05/19,Rate,926.29,3651000
New York City,Asian,05/19,Number,7556,3651000
New York City,Black,05/19,Number,30197,3651000
New York City,Hispanic,05/19,Number,31347,3651000
New York City,White,05/19,Number,29283,3651000
New York City,Asian,05/22,Rate,560.65,3651000
New York City,Black,05/22,Rate,1475.75,3651000
New York City,Hispanic,05/22,Rate,1314.06,3651000
New York City,White,05/22,Rate,936.45,3651000
New York City,Asian,05/22,Number,7631,3651000
New York City,Black,05/22,Number,30473,3651000
New York City,Hispanic,05/22,Number,31815,3651000
New York City,White,05/22,Number,29611,3651000
New York City,Asian,05/25,Rate,566.55,3651000
New York City,Black,05/25,Rate,1489.75,3651000
New York City,Hispanic,05/25,Rate,1331.13,3651000
New York City,White,05/25,Rate,943.04,3651000
New York City,Asian,05/25,Number,7708,3651000
New York City,Black,05/25,Number,30757,3651000
New York City,Hispanic,05/25,Number,32225,3651000
New York City,White,05/25,Number,29826,3651000
New York City,Asian,05/29,Number,7761,3651000
New York City,Black,05/29,Number,31092,3651000
New York City,Hispanic,05/29,Number,32614,3651000
New York City,White,05/29,Number,30093,3651000
New York City,Asian,05/29,Rate,570.68,3651000
New York City,Black,05/29,Rate,1506.42,3651000
New York City,Hispanic,05/29,Rate,1347.33,3651000
New York City,White,05/29,Rate,951.37,3651000
New York City,Asian,06/01,Number,7881,3651000
New York City,Black,06/01,Number,31584,3651000
New York City,Hispanic,06/01,Number,33825,3651000
New York City,White,06/01,Number,30340,3651000
New York City,Asian,06/01,Rate,579.55,3651000
New York City,Black,06/01,Rate,1530.77,3651000
New York City,Hispanic,06/01,Rate,1396.35,3651000
New York City,White,06/01,Rate,959.14,3651000
New York City,Asian,06/05,Number,7907,3651000
New York City,Black,06/05,Number,31784,3651000
New York City,Hispanic,06/05,Number,34302,3651000
New York City,White,06/05,Number,30473,3651000
New York City,Asian,06/05,Rate,581.52,3651000
New York City,Black,06/05,Rate,1540.7,3651000
New York City,Hispanic,06/05,Rate,1416,3651000
New York City,White,06/05,Rate,963.08,3651000
New York City,Asian,06/08,Number,7983,3651000
New York City,Black,06/08,Number,32053,3651000
New York City,Hispanic,06/08,Number,35332,3651000
New York City,White,06/08,Number,30741,3651000
New York City,Asian,06/08,Rate,586.8,3651000
New York City,Black,06/08,Rate,1553.94,3651000
New York City,Hispanic,06/08,Rate,1459.16,3651000
New York City,White,06/08,Rate,971.36,3651000
New York City,Asian,06/12,Number,8025,3651000
New York City,Black,06/12,Number,32240,3651000
New York City,Hispanic,06/12,Number,35587,3651000
New York City,White,06/12,Number,30884,3651000
New York City,Asian,06/12,Rate,589.82,3651000
New York City,Black,06/12,Rate,1563.26,3651000
New York City,Hispanic,06/12,Rate,1469.76,3651000
New York City,White,06/12,Rate,975.84,3651000
New York City,Asian,06/15,Number,8057,3651000
New York City,Black,06/15,Number,32397,3651000
New York City,Hispanic,06/15,Number,35726,3651000
New York City,White,06/15,Number,30998,3651000
New York City,Asian,06/15,Rate,592.26,3651000
New York City,Black,06/15,Rate,1570.93,3651000
New York City,Hispanic,06/15,Rate,1475.48,3651000
New York City,White,06/15,Rate,979.28,3651000
New York City,Asian,06/19,Number,8094,3651000
New York City,Black,06/19,Number,32551,3651000
New York City,Hispanic,06/19,Number,35962,3651000
New York City,White,06/19,Number,31157,3651000
New York City,Asian,06/19,Rate,594.9,3651000
New York City,Black,06/19,Rate,1578.46,3651000
New York City,Hispanic,06/19,Rate,1485.17,3651000
New York City,White,06/19,Rate,984.29,3651000
New York City,Asian,06/22,Number,8128,3651000
New York City,Black,06/22,Number,32672,3651000
New York City,Hispanic,06/22,Number,36116,3651000
New York City,White,06/22,Number,31239,3651000
New York City,Asian,06/22,Rate,597.47,3651000
New York City,Black,06/22,Rate,1584.35,3651000
New York City,Hispanic,06/22,Rate,1491.51,3651000
New York City,White,06/22,Rate,986.83,3651000
New York City,Asian,06/26,Number,8156,3651000
New York City,Black,06/26,Number,32869,3651000
New York City,Hispanic,06/26,Number,36443,3651000
New York City,White,06/26,Number,31393,3651000
New York City,Asian,06/26,Rate,599.66,3651000
New York City,Black,06/26,Rate,1593.89,3651000
New York City,Hispanic,06/26,Rate,1505.08,3651000
New York City,White,06/26,Rate,991.68,3651000
New York City,Asian,06/30,Number,8197,3651000
New York City,Black,06/30,Number,33034,3651000
New York City,Hispanic,06/30,Number,36658,3651000
New York City,White,06/30,Number,31541,3651000
New York City,Asian,06/30,Rate,602.8,3651000
New York City,Black,06/30,Rate,1602.05,3651000
New York City,Hispanic,06/30,Rate,1514.04,3651000
New York City,White,06/30,Rate,996.33,3651000
New York City,Asian,07/09,Number,8320,3651000
New York City,Black,07/09,Number,33362,3651000
New York City,Hispanic,07/09,Number,37119,3651000
New York City,White,07/09,Number,31842,3651000
New York City,Asian,07/09,Rate,611.66,3651000
New York City,Black,07/09,Rate,1618.57,3651000
New York City,Hispanic,07/09,Rate,1532.82,3651000
New York City,White,07/09,Rate,1006.6,3651000
New York City,Asian,07/20,Number,8477,3651000
New York City,Black,07/20,Number,33757,3651000
New York City,Hispanic,07/20,Number,37753,3651000
New York City,White,07/20,Number,32173,3651000
New York City,Asian,07/20,Rate,623.61,3651000
New York City,Black,07/20,Rate,1638.8,3651000
New York City,Hispanic,07/20,Rate,1558.73,3651000
New York City,White,07/20,Rate,1017.79,3651000
New York City,Asian,07/30,Number,8676,3651000
New York City,Black,07/30,Number,34219,3651000
New York City,Hispanic,07/30,Number,38961,3651000
New York City,White,07/30,Number,32678,3651000
New York City,Asian,07/30,Rate,638.5,3651000
New York City,Black,07/30,Rate,1662.25,3651000
New York City,Hispanic,07/30,Rate,1607.86,3651000
New York City,White,07/30,Rate,1035.43,3651000
New York City,Asian,08/05,Number,8882,3651000
New York City,Black,08/05,Number,34631,3651000
New York City,Hispanic,08/05,Number,39966,3651000
New York City,White,08/05,Number,33161,3651000
New York City,Asian,08/05,Rate,654.39,3651000
New York City,Black,08/05,Rate,1683.86,3651000
New York City,Hispanic,08/05,Rate,1648.59,3651000
New York City,White,08/05,Rate,1052.75,3651000
New York City,Asian,08/16,Number,9617,3651000
New York City,Black,08/16,Number,35858,3651000
New York City,Hispanic,08/16,Number,43430,3651000
New York City,White,08/16,Number,34372,3651000
New York City,Asian,08/16,Rate,710.42,3651000
New York City,Black,08/16,Rate,1745.97,3651000
New York City,Hispanic,08/16,Rate,1788.91,3651000
New York City,White,08/16,Rate,1095.75,3651000
New York City,Asian,08/23,Number,9791,3651000
New York City,Black,08/23,Number,36117,3651000
New York City,Hispanic,08/23,Number,44164,3651000
New York City,White,08/23,Number,34716,3651000
New York City,Asian,08/23,Rate,723.87,3651000
New York City,Black,08/23,Rate,1759.64,3651000
New York City,Hispanic,08/23,Rate,1818.65,3651000
New York City,White,08/23,Rate,1108.37,3651000
New York City,Asian,09/07,Number,10044,3651000
New York City,Black,09/07,Number,36578,3651000
New York City,Hispanic,09/07,Number,45315,3651000
New York City,White,09/07,Number,35504,3651000
New York City,Asian,09/07,Rate,743.52,3651000
New York City,Black,09/07,Rate,1783.6,3651000
New York City,Hispanic,09/07,Rate,1865.54,3651000
New York City,White,09/07,Rate,1137.31,3651000
New York City,Asian,09/14,Number,10107,3651000
New York City,Black,09/14,Number,36657,3651000
New York City,Hispanic,09/14,Number,45558,3651000
New York City,White,09/14,Number,35759,3651000
New York City,Asian,09/14,Rate,748.49,3651000
New York City,Black,09/14,Rate,1787.75,3651000
New York City,Hispanic,09/14,Rate,1875.45,3651000
New York City,White,09/14,Rate,1146.52,3651000
New York City,Asian,09/27,Number,10530,3651000
New York City,Black,09/27,Number,37218,3651000
New York City,Hispanic,09/27,Number,47525,3651000
New York City,White,09/27,Number,37261,3651000
New York City,Asian,09/27,Rate,780.4,3651000
New York City,Black,09/27,Rate,1816.23,3651000
New York City,Hispanic,09/27,Rate,1955.03,3651000
New York City,White,09/27,Rate,1202.09,3651000
New York City,Asian,10/07,Number,10892,3651000
New York City,Black,10/07,Number,37633,3651000
New York City,Hispanic,10/07,Number,48775,3651000
New York City,White,10/07,Number,38700,3651000
New York City,Asian,10/07,Rate,808.11,3651000
New York City,Black,10/07,Rate,1838,3651000
New York City,Hispanic,10/07,Rate,2006.19,3651000
New York City,White,10/07,Rate,1255.99,3651000
New York City,Asian,10/14,Number,11184,3651000
New York City,Black,10/14,Number,37936,3651000
New York City,Hispanic,10/14,Number,49550,3651000
New York City,White,10/14,Number,39591,3651000
New York City,Asian,10/14,Rate,831.27,3651000
New York City,Black,10/14,Rate,1854.02,3651000
New York City,Hispanic,10/14,Rate,2037.68,3651000
New York City,White,10/14,Rate,1288.19,3651000
New York City,Asian,10/21,Number,11480,3651000
New York City,Black,10/21,Number,38387,3651000
New York City,Hispanic,10/21,Number,50518,3651000
New York City,White,10/21,Number,40594,3651000
New York City,Asian,10/28,Number,11848,3651000
New York City,Black,10/28,Number,38765,3651000
New York City,Hispanic,10/28,Number,51505,3651000
New York City,White,10/28,Number,41596,3651000
New York City,Asian,10/21,Rate,854.26,3651000
New York City,Black,10/21,Rate,1877.18,3651000
New York City,Hispanic,10/21,Rate,2076.92,3651000
New York City,White,10/21,Rate,1323.54,3651000
New York City,Asian,10/28,Rate,882.85,3651000
New York City,Black,10/28,Rate,1897.19,3651000
New York City,Hispanic,10/28,Rate,2116.71,3651000
New York City,White,10/28,Rate,1359.98,3651000
